gene,expression
SERPING1,12.212188969917962
SMAD9,3.903347037374662
TRERF1,8.898954512306297
LOC653501,7.07080838650866
LRPAP1,10.916900455788523
LQK1,4.523313947128531
SMAD6,6.213814585232438
SMAD7,9.347353783044667
GOLPH3L,10.451484594348226
SMAD1,9.624137010027345
AFTPH,10.869602643573385
SMAD3,10.093511668185958
MUS81,8.954385050136738
AMMECR1L,9.657660528714667
IL1RAPL1,0.5819947128532356
TMPRSS11B,0.061418322698268
IGF2R,11.539043846855057
TMPRSS11D,0.5149813126709208
TMPRSS11F,0.2441585232452144
ZC3H10,7.698290701914304
RAD21L1,0.492347766636281
IL1RAPL2,1.722258432087513
SLC36A3,0.08962752962625344
CKS1B,9.746350501367356
SLC36A1,8.400596444849608
ST13,12.184315041020964
RPL31P11,1.841939562443027
C14orf115,0.463712488605287
ZC3H15,10.558326253418429
TMEM213,2.552596627164993
C14orf118,7.4467180492251694
ARTN,5.407995259799454
ART1,0.48950391978122176
HRH3,0.8034747493163169
ART3,2.2155665451230635
HERC2P2,8.959981312670921
ART5,2.689762534184142
ART4,1.43809708295351
RNF111,9.308102552415685
TCEA2,8.310131722880588
TCEA3,9.998942844120329
TCEA1,10.762005013673653
MGC57346,7.384568003646308
COX4I2,4.499486144029177
COX4I1,11.832120237010027
BFAR,10.535942023701
ZC3H18,9.50945752051049
TMEM212,0.49274776663628067
SNORD115-13,0.017007474931631714
TCEB3B,0.4410494074749318
SIPA1,9.414156700091159
CRTAM,4.164361804922516
EDA,5.575429170464899
OR6P1,0.003165360072926163
CCDC116,1.7293761166818582
CADPS2,9.664074658158613
CCDC114,4.493243026435733
CCDC115,9.836679762989974
CCDC112,7.883452597994531
CCDC113,8.08458505013674
CCDC110,5.549315314494074
CCDC111,7.513362898814944
LEO1,9.646795624430265
ATP1A4,3.4510588878760253
ATP1A3,4.413651959890609
ATP1A2,4.540764175022782
ATP1A1,13.686382497721079
KGFLP2,6.146629170464902
MGRN1,10.840498359161339
TCP1,11.90685815861441
CRTAP,11.698668368277108
CBLC,7.993332269826803
SPHK1,8.497833728350043
DPT,8.718155241567912
BPESC1,0.05072980856882406
CUEDC1,8.746476572470366
CUEDC2,9.704039562443032
CBLB,8.870315132178666
CPEB4,9.83279179580676
CPEB1,3.1371605287146824
ZNF45,8.166353691886966
CPEB3,7.1862201458523165
CPEB2,9.418456791248849
BEGAIN,4.035804375569732
RBMXL3,0.012706836827711943
OSGEP,8.597477939835906
ABAT,9.525450865998176
LOC100129637,7.047731722880578
ZNF780A,8.261412123974475
ZNF780B,8.07872452142205
TLN2,9.331198997265279
FRG1,9.205656426618054
FRG2,0.13737666362807657
RHEBL1,4.457169006381037
ZNF41,8.088356244302629
IFT80,8.972065086599816
FBRS,10.731179671832273
ZNF414,7.351724339106663
IFT88,8.296854603463991
IL10RA,8.630483500455794
POU5F1B,3.4972087511394716
SP1,11.583041750227881
SLC27A4,9.846364630811303
SP2,9.218209845031906
OLA1,10.980631540565184
PNOC,2.846906198723788
CNTF,3.205277210574288
MCM10,7.412919963536913
PDIA5,9.069926162260716
SP4,7.592185961713777
TMEM38B,6.613122789425704
THUMPD3,10.06370747493163
IGFBPL1,1.9125280765724686
SP5,3.464848678213309
ATG4C,7.474796809480415
ATG4B,9.733882862351885
ATG4A,8.374656973564278
THUMPD2,7.772327529626248
LOC441208,5.012647037374666
ATG4D,8.479993163172285
PHOX2A,0.25488049225159537
PHOX2B,0.10910018231540564
SNORD114-31,0.0
SNORD114-30,0.0
LRGUK,3.679832999088425
MPHOSPH8,9.621240656335454
UPK2,2.185435095715587
CFH,9.87747711941659
CFI,7.903103190519587
PNP,9.79961002734732
ANKFY1,10.600649407474927
C1orf14,0.20134466727438471
CFB,12.360785779398359
OR5P3,0.09397402005469462
OR5P2,0.08600483135824975
MLLT4,11.126123609845042
SNORD115-6,0.0
CREBBP,11.364386052871476
PNN,10.88791631722881
PHYHIPL,2.8624608021877815
ATP6V0E1,11.712716408386507
ATP6V0E2,10.314538559708303
RNF128,6.027270829535102
CFP,4.272274931631724
AAAS,9.437371376481298
HAMP,3.8014092980856913
ZNF394,8.610370556061994
SIDT1,8.935291886964443
SERPINA10,0.7305876937101187
SIDT2,10.100462169553351
SNORD115-7,0.006099088422971742
TAF8,8.792232360984503
PISRT1,0.002649316317228806
SIX4,8.612653874202383
LOC283070,7.904056426618048
SIX6,0.17616453965360065
PM20D1,1.3692407474931647
MR1,7.787954056517779
MGC4473,0.4960036463081132
SIX3,2.5029927985414777
SNORD115-4,0.0
WASH3P,8.146834822242496
CNPY4,8.39710227894257
CNPY3,10.483230902461246
CNPY2,10.488492798541497
CNPY1,0.1991280765724704
NODAL,1.9822164083865077
SYNJ1,8.284953965360069
KNDC1,3.6624106654512336
HMG20A,9.643676390154985
HMG20B,10.924439744758413
PHOSPHO2,6.42500282588878
AAGAB,10.6255196900638
C4orf19,6.204094804010943
C3orf79,0.028526162260711026
SLC7A6OS,7.202901093892438
C3orf77,0.03313874202370099
C3orf75,8.602031722880593
C3orf74,0.3775034639927073
C4orf10,8.054659161349143
C3orf72,0.8252419325432997
C3orf71,4.783252597994535
C3orf70,6.200800455788515
ZNF285,6.123252597994534
MRO,4.64571030082042
ZFP82,6.845800091157696
CHFR,8.864319872379218
EFHA1,9.717566453965363
RTBDN,2.2189762078395616
EFHA2,4.446742479489515
AAA1,0.06370054694621696
GPR75,4.2478
NUDT9P1,1.3952618049225178
SYPL2,3.8287561531449446
RFX8,3.142903372835001
ZNF222,6.0321423883318035
RFX4,0.4625552415679128
OR2C3,0.1304168641750228
AVPR2,3.3573118505013646
RFX7,9.13152360984503
NRXN3,5.23946991795806
GPR77,5.983003828623517
NRXN1,2.9517865086599797
RFX3,5.82707620783956
SNORD104,0.0
RFPL2,1.3408185961713759
VPS37D,6.169199817684597
NLRP13,0.4663855059252507
APC,9.62178632634457
TMEM179B,10.097010483135822
ABCE1,10.660734092980844
UQCRC2,11.66708140382864
XPNPEP1,9.866133546034646
XPNPEP2,3.307230355515045
TIGD4,3.5144412944393775
ZNHIT3,9.19693126709208
GGCX,9.560867821330913
PAPLN,7.714260164083862
ADNP,11.70502534184138
TMEM218,7.998593618960806
STXBP6,3.0229639927073855
KHDRBS1,12.007111212397438
RUNDC2C,4.6355183226982675
KHDRBS3,7.309011030082048
GGCT,10.955140018231535
VPS37C,10.095981677301744
STAC2,6.2996839562443
LOC283404,0.7494379216043761
ZNF395,10.420242479489508
STAC3,5.915080674566999
TBL1Y,0.020799635369188704
LHCGR,0.4049292616226071
TMEM211,0.3199978122151322
OR1Q1,0.2852368277119416
TMEM127,11.359572288058327
GPR78,0.1587311759343665
TRPA1,3.755719872379218
VPS37B,9.621903919781195
TTC7A,9.325809206927978
UQCRHL,8.649239835916125
ZBED4,9.525835369188686
C11orf2,10.46002087511396
C11orf1,8.057733819507737
DPYSL5,1.5896780309936185
DPYSL2,10.564143482224265
DPYSL3,11.404377119416585
OSTM1,9.213095715587965
RUNX2,8.289822607110288
C11orf9,5.095869097538745
KRTAP10-12,0.009179671832269826
KRTAP10-11,0.006143846855059253
KRTAP10-10,0.007465724703737466
IGFBP2,10.884911850501364
IGFBP3,11.229694348222429
IGFBP1,0.9175457611668183
BOP1,8.166546216955346
IGFBP7,12.270897538742016
IGFBP4,13.532509480401098
IGFBP5,13.723568368277107
SKP2,7.24260592525069
TTC4,9.188465542388322
CYP2R1,7.944938286235186
CKLF,8.433403099361893
ZNF193,7.621544211485874
C15orf26,1.4276987237921632
C15orf27,3.88572789425707
C15orf24,9.967625068368273
GJA3,2.2559340018231566
APLNR,9.29636399270738
C15orf23,8.40905296262535
C15orf21,5.712673564266176
GJA8,0.04429425706472196
CYP8B1,1.5636530537830446
C15orf28,2.3510308113035547
C15orf29,8.364976845943476
STMN1,11.721284138559708
S1PR2,8.095538286235197
KDM3B,11.18523044667274
REG1P,0.01155013673655424
STK17A,9.063593618960791
KDM3A,10.430587511394723
LOC401387,0.9532365542388334
S1PR1,8.572412397447575
ZNF642,6.771317137648132
TMC4,10.633954329990894
MYO3A,2.4071779398359148
TMC6,9.671597994530526
KIAA1958,5.830937921604377
APIP,8.593027620783973
TMC1,0.7416868732907934
GPR15,1.3750785779398365
TMC3,2.0298041932543303
PKLR,0.807139288969917
TECRL,0.02663236098450319
EIF2B4,9.774570556062
EIF2B5,10.424258158614416
EIF2B2,9.007440838650867
EIF2B3,9.061041932543313
EIF2B1,10.088669462169559
PRKAR2A,8.16224238833181
